method_id,group,score_lower_is_better,component_position,component_velocity,component_velocity_closure,component_step_closure,component_join_position,component_join_velocity,component_same_time_position,component_same_time_velocity,component_accel,component_jerk,component_gap_accel,component_gap_jerk
kalman_rts_balanced,evidence_fit,0.14849009971479324,0.10133905590262536,0.21921666543304502,,,,,,,,,,
kalman_rts_balanced,kinematic_consistency,0.0004643819205930086,,,0.0008274143861239549,2.067557383296306e-05,,,,,,,,
kalman_rts_balanced,continuity,0.0,,,,,0.0,0.0,0.0,0.0,,,,
kalman_rts_balanced,motion_smoothness,0.31907997458899207,,,,,,,,,0.5395704902701611,0.049591566534229886,,
kalman_rts_balanced,gap_behavior,0.0,,,,,,,,,,,0.0,0.0
kalman_rts_accurate,evidence_fit,0.1406294846870658,0.08629499777741487,0.22213121505154215,,,,,,,,,,
kalman_rts_accurate,kinematic_consistency,0.0009557485203769286,,,0.0017028257399708756,4.265414087321547e-05,,,,,,,,
kalman_rts_accurate,continuity,0.0,,,,,0.0,0.0,0.0,0.0,,,,
kalman_rts_accurate,motion_smoothness,0.35315063794831747,,,,,,,,,0.5590207927985844,0.10153155979799117,,
kalman_rts_accurate,gap_behavior,0.0,,,,,,,,,,,0.0,0.0
kalman_rts_smooth,evidence_fit,0.18402298084822716,0.1516204042450913,0.2326268457529309,,,,,,,,,,
kalman_rts_smooth,kinematic_consistency,0.0002749080844337486,,,0.0004898097512869648,1.225049161315095e-05,,,,,,,,
kalman_rts_smooth,continuity,0.0,,,,,0.0,0.0,0.0,0.0,,,,
kalman_rts_smooth,motion_smoothness,0.30038481817899537,,,,,,,,,0.5221211493440066,0.029373746755092717,,
kalman_rts_smooth,gap_behavior,0.0,,,,,,,,,,,0.0,0.0
bea_v_spline_balanced,evidence_fit,0.3192698285576675,0.3355135495960747,0.2949042470000568,,,,,,,,,,
bea_v_spline_balanced,kinematic_consistency,0.00028080741374208806,,,0.0005004815788752103,1.231676746827179e-05,,,,,,,,
bea_v_spline_balanced,continuity,0.024440590337195582,,,,,2.9384519122434935e-05,0.09770946921436194,0.0,0.0,,,,
bea_v_spline_balanced,motion_smoothness,0.29778332527544954,,,,,,,,,0.5164708838875248,0.030498531416246318,,
bea_v_spline_balanced,gap_behavior,0.0,,,,,,,,,,,0.0,0.0
bea_v_spline_accurate,evidence_fit,0.24121157265321863,0.22198188724073303,0.27005610077194697,,,,,,,,,,
bea_v_spline_accurate,kinematic_consistency,0.0003684875518917548,,,0.0006567509493932449,1.6165621612155716e-05,,,,,,,,
bea_v_spline_accurate,continuity,0.022093575930833487,,,,,4.868506750719295e-05,0.088286670601821,0.0,0.0,,,,
bea_v_spline_accurate,motion_smoothness,0.30599611740667443,,,,,,,,,0.5237779697134082,0.0398182979206665,,
bea_v_spline_accurate,gap_behavior,0.0,,,,,,,,,,,0.0,0.0
bea_v_spline_smooth,evidence_fit,0.6254721858964649,0.7781195989375032,0.39650106633490767,,,,,,,,,,
bea_v_spline_smooth,kinematic_consistency,0.000252504117427497,,,0.00045002433290274133,1.109052073553165e-05,,,,,,,,
bea_v_spline_smooth,continuity,0.02729625964630287,,,,,3.9163579478953155e-05,0.10911454414214934,0.0,0.0,,,,
bea_v_spline_smooth,motion_smoothness,0.2894460424223913,,,,,,,,,0.5039197875960297,0.02731146498794426,,
bea_v_spline_smooth,gap_behavior,0.0,,,,,,,,,,,0.0,0.0
