method_id,scored,discovery_sources,missing_payload_file,skip_reason
kalman_rts_balanced,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
kalman_rts_accurate,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
kalman_rts_smooth,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_bspline_balanced,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_bspline_accurate,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_bspline_smooth,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_hermite_balanced,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_hermite_accurate,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_hermite_smooth,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
aviation_v_spline_bspline_global_balanced,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
aviation_v_spline_bspline_global_accurate,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
aviation_v_spline_bspline_global_smooth,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_bspline_overlap_balanced,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_bspline_overlap_accurate,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_bspline_overlap_smooth,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_bspline_join_smooth_balanced,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_bspline_join_smooth_accurate,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_bspline_join_smooth_smooth,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_hermite_stable_balanced,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_hermite_stable_accurate,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_hermite_stable_smooth,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
aviation_v_spline_quintic_balanced,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
aviation_v_spline_quintic_accurate,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
aviation_v_spline_quintic_smooth,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
kalman_rts_balanced_synthetic_gap,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
aviation_v_spline_quintic_balanced_synthetic_gap,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
v_spline_bspline_overlap_smooth_synthetic_gap,True,"flight_summary,manifest,methods_directory,reconstruction_quality",False,
