row_type,method_id,preset,backend,fit_mode,truth_data_used,trajectory_model_weighted_score_0_100,trajectory_model_interpretation,segment_trajectory_score_0_100,event_aware_join_score_0_100,hard_gap_honesty_score_0_100,locality_scope_score_0_100,mean_position_score_0_100,mean_velocity_evidence_score_0_100,mean_fd_kinematics_score_0_100,mean_smoothness_score_0_100,mean_plausibility_score_0_100,mean_detail_score_0_100,mean_derivative_closure_score_0_100,hard_gap_count,bridged_gap_count,bridge_frame_count,normal_join_count,normal_max_acceleration_jump_mps2,normal_max_jerk_jump_mps3,locality_note,segment_id,component_id,regime_label,trajectory_regime_bucket,t0,t1,n_observations,trajectory_model_score_0_100,position_score_0_100,velocity_evidence_score_0_100,fd_kinematics_score_0_100,smoothness_score_0_100,plausibility_score_0_100,detail_score_0_100,derivative_closure_score_0_100,velocity_weighted_rmse_3d_mps,fd_velocity_rmse_3d_mps,track_angle_median_error_deg,jerk_per_speed_rms_1_s2,snap_proxy_rms_mps4,turn_rate_p95_deg_s,velocity_detail_retention_ratio
method_summary,kalman_rts_balanced,balanced,kalman_rts,whole_track_kalman_filter_plus_rts_smoother_no_segmentation,False,93.26606597766451,excellent_trajectory_model_for_reference_free_derivative_analysis,96.89731385786739,100.0,100.0,25.0,100.0,100.0,86.45406696350751,100.0,93.319022455044,100.0,100.0,0,0,0,,,,local segmented models score higher for local wind/control analysis; whole-track smoothers remain valid baselines but are less local by design,,,,,,,,,,,,,,,,,,,,,,
segment,kalman_rts_balanced,balanced,kalman_rts,,False,,,,,,,,,,,,,,,,,,,,,kalman_rts_balanced_whole_track,4BAAD9_kalman_rts_whole_track,kalman_rts_whole_track_no_segmentation,ground,1766850172.0,1766854176.0,3728,96.89731385786739,100.0,100.0,86.45406696350751,100.0,93.319022455044,100.0,100.0,3.2148441715692266,23.208654207055382,0.7118297103955462,0.0019696641790830824,0.06877372286780128,2.09673851280109,0.9759559860600693
method_summary,kalman_rts_accurate,accurate,kalman_rts,whole_track_kalman_filter_plus_rts_smoother_no_segmentation,False,93.15980286799073,excellent_trajectory_model_for_reference_free_derivative_analysis,96.7497262055427,100.0,100.0,25.0,100.0,100.0,86.64561600856075,100.0,92.04591174409268,100.0,100.0,0,0,0,,,,local segmented models score higher for local wind/control analysis; whole-track smoothers remain valid baselines but are less local by design,,,,,,,,,,,,,,,,,,,,,,
segment,kalman_rts_accurate,accurate,kalman_rts,,False,,,,,,,,,,,,,,,,,,,,,kalman_rts_accurate_whole_track,4BAAD9_kalman_rts_whole_track,kalman_rts_whole_track_no_segmentation,ground,1766850172.0,1766854176.0,3728,96.7497262055427,100.0,100.0,86.64561600856075,100.0,92.04591174409268,100.0,100.0,3.307371540588238,23.038688918759245,0.7050453847834443,0.004254070131497113,0.42326702359966556,2.133319675031979,0.9760251468951118
method_summary,kalman_rts_smooth,smooth,kalman_rts,whole_track_kalman_filter_plus_rts_smoother_no_segmentation,False,93.36210680147065,excellent_trajectory_model_for_reference_free_derivative_analysis,97.03070389093145,100.0,100.0,25.0,100.0,100.0,86.28838332620546,100.0,94.46116113384684,100.0,100.0,0,0,0,,,,local segmented models score higher for local wind/control analysis; whole-track smoothers remain valid baselines but are less local by design,,,,,,,,,,,,,,,,,,,,,,
segment,kalman_rts_smooth,smooth,kalman_rts,,False,,,,,,,,,,,,,,,,,,,,,kalman_rts_smooth_whole_track,4BAAD9_kalman_rts_whole_track,kalman_rts_whole_track_no_segmentation,ground,1766850172.0,1766854176.0,3728,97.03070389093145,100.0,100.0,86.28838332620546,100.0,94.46116113384684,100.0,100.0,3.282208592906351,23.358536021395146,0.7875186419007876,0.0009684081751504698,0.012306976339597316,2.049963029933569,0.9755368228648581
method_summary,bea_v_spline_balanced,balanced,bea_v_spline,dynamic_piecewise_bea_v_spline_per_segment_tuned_hard_reported_C0_joins_exact_C1_post_join_harmonized,False,95.1654938620248,excellent_trajectory_model_for_reference_free_derivative_analysis,93.79117815285663,96.965379933067,100.0,100.0,96.6292917654663,99.9922217716083,86.97473060195348,100.0,100.0,62.81106325798603,100.0,0,0,0,46,1.4708893207309808,0.17379507042384804,local segmented models score higher for local wind/control analysis; whole-track smoothers remain valid baselines but are less local by design,,,,,,,,,,,,,,,,,,,,,,
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0001,comp_0001,descent,approach_final,1766850172.0,1766850398.0,227,90.34513826106685,95.64018895583807,100.0,79.88309440772574,100.0,100.0,40.87020481130149,100.0,1.558047678959338,29.02880475969656,0.5569205991428997,0.00010058925595992598,0.0032640115886683314,0.012674489660848384,0.190349552990514
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0002,comp_0001,descent,approach_final,1766850398.0,1766850763.0,366,97.9981003938117,100.0,100.0,87.48812746132303,100.0,100.0,100.0,100.0,0.9429653342247062,22.297988902496744,0.6708842100196329,0.0002471049322189742,0.0053116318615502875,0.09970124534004297,0.45477530027266444
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0003,comp_0001,descent,approach_final,1766850763.0,1766851029.0,265,96.83976308360529,100.0,100.0,95.76500331487266,100.0,100.0,75.17362553225648,100.0,1.6314389126062845,14.997274039367147,1.1539609081635103,0.001143067060163265,0.021570262796713934,0.0575802786417585,0.2829687889370925
